,route_name,route_ID,type_string,sector_ID,parent_sector,parent_loc,num_votes,adjusted_num_votes,mean_rating,median_rating,mode_rating,RQI_mean,RQI_median,ARQI_mean,ARQI_median,nopm_YDS,YDS_rank,safety,state
29960,Skelator,107358365,trad,107357989,Castle,"[-121.0386, 43.9889]",2,2.3971032469679483,2.0,2.0,2.0,1.0,1.0,1.1656596341731367,1.1656596341731367,5.7,73,,Oregon
29961,As You Wish,107357995,trad,107357989,Castle,"[-121.0386, 43.9889]",2,2.3971032469679483,2.5,2.5,2.0,1.25,1.25,1.457074542716421,1.457074542716421,5.7,73,PG,Oregon
29962,African Swallow,107358243,trad,107357989,Castle,"[-121.0386, 43.9889]",2,2.3971032469679483,1.5,1.5,1.0,0.75,0.75,0.8742447256298524,0.8742447256298524,5.7,73,,Oregon
29963,Mekaneck,107358348,trad,107357989,Castle,"[-121.0386, 43.9889]",1,1.3506523432012372,2.0,2.0,2.0,0.0,0.0,0.5192340500741168,0.5192340500741168,5.8,83,,Oregon
29964,Holy Hand Grenade,107358251,trad,107357989,Castle,"[-121.0386, 43.9889]",1,1.3506523432012372,1.0,1.0,1.0,0.0,0.0,0.2596170250370584,0.2596170250370584,5.8,83,,Oregon
29965,Fezzik,107358339,trad,107357989,Castle,"[-121.0386, 43.9889]",2,2.3563890589027245,2.0,2.0,2.0,1.0,1.0,1.1512437250360859,1.1512437250360859,5.6,63,,Oregon
29966,Inconceivable,107358324,trad,107357989,Castle,"[-121.0386, 43.9889]",3,4.276263319677129,2.0,2.0,2.0,1.3333333333333335,1.3333333333333335,1.5323019537180873,1.5323019537180873,5.9,93,,Oregon
29967,Trojan Rabbit,107358465,trad,107357989,Castle,"[-121.0386, 43.9889]",2,2.930230794130436,1.5,1.5,1.0,0.75,0.75,0.9880949299267963,0.9880949299267963,5.5,53,,Oregon
29968,Orko,107358440,trad,107357989,Castle,"[-121.0386, 43.9889]",2,2.930230794130436,1.5,1.5,1.0,0.75,0.75,0.9880949299267963,0.9880949299267963,5.5,53,,Oregon
29969,Big Arch Corner,105842927,trad,105842915,"Great Arch, The","[-122.14883, 44.30062]",2,2.3971032469679483,2.0,2.0,2.0,1.0,1.0,1.1656596341731367,1.1656596341731367,5.7,73,,Oregon
29970,Tyler's Route,118815733,sport,105842915,"Great Arch, The","[-122.14883, 44.30062]",1,1.135918122867783,2.0,2.0,2.0,0.0,0.0,0.23930971807129708,0.23930971807129708,5.10a,100,,Oregon
29971,Black Kettle,105842924,sport,105842915,"Great Arch, The","[-122.14883, 44.30062]",16,18.17468996588453,3.4375,3.7,4.0,3.22265625,3.46875,3.24836334862094,3.496420186151994,5.10a,100,,Oregon
29972,Phadra,105842989,sport,105842915,"Great Arch, The","[-122.14883, 44.30062]",7,9.928655106589057,3.5714285714285716,3.625,4.0,3.0612244897959187,3.107142857142857,3.211719372842509,3.259895163435146,5.10c,104,,Oregon
29973,Forked Route,105842982,sport,105842915,"Great Arch, The","[-122.14883, 44.30062]",6,8.510275805647762,2.8333333333333335,2.9,3.0,2.361111111111111,2.4166666666666665,2.5004024861975664,2.559235485872803,5.10c,104,,Oregon
29974,Choppin' at the Bit,112067512,sport,105842915,"Great Arch, The","[-122.14883, 44.30062]",3,4.255137902823881,2.0,2.0,2.0,1.3333333333333335,1.3333333333333335,1.529979980514211,1.529979980514211,5.10c,104,,Oregon
29975,Captain Courageous,112067550,sport,105842915,"Great Arch, The","[-122.14883, 44.30062]",4,5.673517203765175,2.75,2.8333333333333335,3.0,2.0625,2.125,2.2652918549052803,2.333937062629683,5.10c,104,,Oregon
29976,Right Corner Arete,105842920,sport,105842915,"Great Arch, The","[-122.14883, 44.30062]",21,25.32755405858153,2.8095238095238093,2.85,3.0,2.6757369614512467,2.7142857142857144,2.6985962480614787,2.7374743296013477,5.9,93,,Oregon
29977,Navgrin,112067571,sport,105842915,"Great Arch, The","[-122.14883, 44.30062]",8,9.648592022316773,2.375,2.7,3.0,2.078125,2.3625000000000003,2.1288500960029473,2.4201664249296666,5.9,93,,Oregon
29978,Unchained,105842993,sport,105842915,"Great Arch, The","[-122.14883, 44.30062]",4,6.401336118190094,3.0,3.0,3.0,2.25,2.25,2.5313478397931375,2.5313478397931375,5.11a,110,,Oregon
29979,Solstice Party,119376682,sport,105842915,"Great Arch, The","[-122.14883, 44.30062]",2,3.200668059095047,4.0,4.0,4.0,2.0,2.0,2.7502609061150327,2.7502609061150327,5.11a,110,,Oregon
29980,Coligula,105985863,trad,105985858,South East Face,"[-122.14792, 44.30132]",1,1.1985516234839741,3.0,3.0,3.0,0.0,0.0,0.49697890251941,0.49697890251941,5.7,73,X,Oregon
29981,Edge of Mordor,118815766,sport,105985858,South East Face,"[-122.14792, 44.30132]",1,1.2060740027895966,3.0,3.0,3.0,0.0,0.0,0.5125904438192594,0.5125904438192594,5.9,93,,Oregon
29982,Cerberus,114801319,sport,105985858,South East Face,"[-122.14792, 44.30132]",3,7.574858826117779,3.0,3.0,3.0,2.0,2.0,2.6039530149847634,2.6039530149847634,5.10c/d,105,,Oregon
29983,The Morgul Vale,111750995,sport,105985858,South East Face,"[-122.14792, 44.30132]",33,35.408407355138635,3.212121212121212,3.235294117647059,3.0,3.1147842056932964,3.1372549019607843,3.121404869533297,3.1439233286364785,5.9+,95,PG,Oregon
29984,Barad Dur,107230099,trad,105985858,South East Face,"[-122.14792, 44.30132]",33,57.44334961622876,3.5757575757575757,3.75,4.0,3.467401285583104,3.6363636363636367,3.513509158845144,3.6847182915854795,5.11a,110,,Oregon
29985,Coreolis Effect,106966352,trad,105985858,South East Face,"[-122.14792, 44.30132]",2,2.8945352192994194,3.5,3.5,3.0,1.75,1.75,2.290824870029695,2.290824870029695,5.9+,95,R,Oregon
29986,Carnival,117687306,trad,107329692,"Drive In, The","[-121.0192, 43.996]",1,1.1985516234839741,1.0,1.0,1.0,0.0,0.0,0.16565963417313667,0.16565963417313667,5.7,73,,Oregon
29987,Cyclops,107329781,trad,107329692,"Drive In, The","[-121.0192, 43.996]",2,2.7013046864024743,2.5,2.5,2.0,1.25,1.25,1.574521281296323,1.574521281296323,5.8,83,,Oregon
29988,Marty McFly,118771876,trad,107329692,"Drive In, The","[-121.0192, 43.996]",2,2.3563890589027245,2.0,2.0,2.0,1.0,1.0,1.1512437250360859,1.1512437250360859,5.6,63,,Oregon
29989,Dirty Snacks,107329771,trad,107329692,"Drive In, The","[-121.0192, 43.996]",1,1.1781945294513623,2.0,2.0,2.0,0.0,0.0,0.3024874500721715,0.3024874500721715,5.6,63,,Oregon
29990,Charlie the Tuna Bird,107329817,trad,107329692,"Drive In, The","[-121.0192, 43.996]",2,2.3563890589027245,1.5,1.5,1.0,0.75,0.75,0.8634327937770644,0.8634327937770644,5.6,63,PG,Oregon
29991,Kindergarden,107329744,trad,107329692,"Drive In, The","[-121.0192, 43.996]",1,1.399002055777148,1.0,1.0,1.0,0.0,0.0,0.2852047673050071,0.2852047673050071,5.4,43,,Oregon
29992,Eightball,107329798,trad,107329692,"Drive In, The","[-121.0192, 43.996]",3,4.197006167331445,2.3333333333333335,2.0,1.0,1.5555555555555558,1.3333333333333335,1.7773814856816723,1.5234698448700048,5.4,43,,Oregon
29993,The Needle,117687230,trad,107329692,"Drive In, The","[-121.0192, 43.996]",2,2.89096464618388,2.0,2.0,1.0,1.0,1.0,1.3081893953148018,1.3081893953148018,5.8/9,91,PG,Oregon
29994,Varassic,107329757,trad,107329692,"Drive In, The","[-121.0192, 43.996]",2,2.930230794130436,1.0,1.0,1.0,0.5,0.5,0.6587299532845309,0.6587299532845309,5.5,53,,Oregon
29995,Sceptre Sammy,117687391,trad,107329692,"Drive In, The","[-121.0192, 43.996]",1,1.465115397065218,2.0,2.0,2.0,0.0,0.0,0.6349198131381235,0.6349198131381235,5.5,53,PG,Oregon
29996,Unknown,107329711,trad,107329692,"Drive In, The","[-121.0192, 43.996]",1,1.465115397065218,2.0,2.0,2.0,0.0,0.0,0.6349198131381235,0.6349198131381235,5.5,53,,Oregon
29997,The Lichenator,111973540,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",2,2.3971032469679483,3.0,3.0,3.0,1.5,1.5,1.748489451259705,1.748489451259705,5.7,73,,Oregon
29998,Brownie Basin Granite,106012276,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",1,1.1985516234839741,2.0,2.0,2.0,0.0,0.0,0.33131926834627334,0.33131926834627334,5.7,73,,Oregon
29999,Barley Cox Route,110939892,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",1,1.1985516234839741,4.0,4.0,4.0,0.0,0.0,0.6626385366925467,0.6626385366925467,5.7,73,,Oregon
30000,Brownie Basin - Chimney Point - The Slab,106013057,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",2,2.9369680139401524,2.5,2.5,2.0,1.25,1.25,1.648782013241584,1.648782013241584,5.10b,102,,Oregon
30001,Up On Cripple Creek,114532187,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",2,2.850842213118086,3.0,3.0,3.0,1.5,1.5,1.947679395865696,1.947679395865696,5.9,93,,Oregon
30002,Benthos Buttress - Unnamed,106013065,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",1,1.9301275106966789,1.0,1.0,1.0,0.0,0.0,0.48189951469110437,0.48189951469110437,5.10b/c,103,,Oregon
30003,Benthos Buttress - The Kozjak Route,106013061,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",1,1.9301275106966789,2.0,2.0,2.0,0.0,0.0,0.9637990293822087,0.9637990293822087,5.10b/c,103,,Oregon
30004,Barley Hurley Route,108514225,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",1,1.4472676096497097,4.0,4.0,4.0,0.0,0.0,1.2361711314964463,1.2361711314964463,5.9+,95,,Oregon
